Method,Long-Horizon QA,Multi-Session Continuity,Hallucination Rate,Answer Utility,Retrieval Recall@3,Retrieval MRR,Retrieval nDCG@5,Evidence Hit Rate,Fact Retention,Preference Retention,Contradiction Rate,Unsupported Claim Proportion,High-Risk Factual Hallucinations,Avg Runtime/Turn (ms)
vanilla,38.0952,49.2857,2.640086,8.4686,0.0000,0.0000,0.0000,0.0000,0.5862,0.9048,0.0000,0.2019,0.3333,4267.4615
rag,0.0000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7143,0.0000,0.0000,0.0000,0.0000
episodic,42.8571,50.0000,2.672148,7.7928,0.0000,0.0000,0.0000,0.0000,0.6011,0.9762,0.0000,0.2764,0.0952,4774.0301
summarization,23.8095,3.5714,2.881844,4.5118,0.0000,0.0000,0.0000,0.0000,0.2977,0.7619,0.0000,0.1701,0.0476,4962.5962
sleep,33.3333,53.5714,2.710975,7.1386,0.9048,0.7238,0.7519,0.0000,0.5826,0.8810,0.0000,0.2565,0.4286,12277.4190
