Method,Long-Horizon QA,Multi-Session Continuity,Hallucination Rate,Answer Utility,Retrieval Recall@3,Retrieval MRR,Retrieval nDCG@5,Evidence Hit Rate,Fact Retention,Preference Retention,Contradiction Rate,Unsupported Claim Proportion,High-Risk Factual Hallucinations,Avg Runtime/Turn (ms)
vanilla,66.6667,30.0000,2.688172,0.1976,0.0000,0.0000,0.0000,0.0000,0.5714,1.0000,0.0000,0.3472,0.3333,11127.5269
rag,33.3333,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000
episodic,33.3333,33.3333,4.910714,0.6457,0.0000,0.0000,0.0000,0.0000,0.5714,1.0000,0.0000,0.3333,0.3333,6400.8398
summarization,33.3333,6.6667,1.583113,0.2590,0.0000,0.0000,0.0000,0.0000,0.5198,1.0000,0.0000,0.5333,0.3333,9793.6611
sleep,0.0000,0.0000,6.944444,0.0000,0.0000,0.0000,0.0000,0.0000,0.4008,0.6667,0.0000,0.3333,0.3333,8320.0982
