Probe,Pre-Consolidation,Post-Consolidation,Delta Improvement
Delayed Recall Accuracy,90.0000,15.0000,-75.0000
Cue-Based Recall,25.0000,10.0000,-15.0000
Cross-Episode Integration,100.0000,100.0000,0.0000
Schema Utilization Rate,80.0000,85.0000,5.0000
